participant_number, time_going_forward, time_going_back, mistakes_made, shortcuts_taken, wander_count, wander_time_sum, finished
B00, 352.03998, 257.64008, 3, 4, 1, 15.720001, Yes
B01, 464.32, 268.47998, 2, 3, 3, 77.880005, Yes
B03, 353.68, 349.56, 6, 2, 1, 0.040008545, Yes
B04, 336.4, 277.56003, 1, 1, 3, 4.8399963, Yes
B05, 493.96002, 345.31995, 6, 2, 7, 90.43996, Yes
B06, 926.88, 376.6001, 5, 2, 15, 328.67993, Yes
B07, 748.92, 502.84003, 5, 3, 19, 188.63998, Yes
B09, 316.08002, 410.07996, 5, 3, 0, 0.0, Yes
B10, 572.76, 547.55994, 6, 3, 3, 132.04001, Yes
B12, 315.52, 1318.3601, 12, 4, 0, 0.0, Yes
B13, 316.4, 492.32004, 7, 2, 0, 0.0, Yes
B14-1, 363.24, 342.12, 5, 1, 4, 8.240021, Yes
B16, 330.88, 352.52002, 4, 4, 0, 0.0, Yes
B17, 377.8, 359.6, 4, 4, 3, 42.079987, Yes
B20, 296.91998, 449.36002, 4, 4, 0, 0.0, Yes
B21, 403.83997, 455.75998, 6, 2, 4, 50.479992, Yes
B22, 419.16, 336.68002, 6, 1, 11, 28.160007, Yes
B23, 296.24, 883.4001, 8, 4, 0, 0.0, Yes
B24, 378.08, 304.6, 4, 1, 1, -1.0, Left aid
B26, 284.68, 320.95996, 5, 0, 0, 0.0, Yes
B29, 318.6, 372.75998, 6, 3, 0, 0.0, Yes
B30, 366.04, 270.43997, 3, 3, 2, 43.36, Yes
B31, 394.68, 269.88007, 3, 2, 2, 419.79996, Yes
B33, 641.04, 191.23999, 2, 4, 16, 164.31993, Yes
B37, 449.2, 236.12, 0, 3, 1, -1.0, Left aid
B41, 367.88, 521.4399, 7, 4, 1, -1.0, Left aid
B43, 314.6, 475.55997, 5, 2, 0, 0.0, Yes
B46, 340.52, 312.96, 3, 1, 0, 0.0, Yes
B48, 297.04, 395.75998, 2, 2, 0, 0.0, Yes
B49, 293.6, 494.08, 6, 3, 0, 0.0, Yes
B50, 671.36, 636.2, 7, 3, 10, 269.75995, Yes
B51, 343.56, 346.47998, 3, 3, 1, 5.5199966, Yes
B52, 740.76, 384.56006, 3, 4, 1, -1.0, Left aid
B59, 449.0, 257.56, 1, 4, 1, -1.0, Left aid
B60, 346.16, 422.68002, 5, 4, 1, 36.199997, Yes
B62, 539.0, 371.76, 5, 2, 1, 3.4400024, Yes
B63, 295.08002, 350.88, 6, 1, 0, 0.0, Yes
B65, 479.12, 290.56, 4, 2, 7, 52.839962, Yes
B66, 333.72, 273.0, 5, 2, 2, 3.6800232, Yes
